temperature,humidity,ph,rainfall,label,label_encoded,month_encoded,water_need_1,water_need_2,water_need_3,water_need_4,water_need_5,water_need_6,water_need_7,water_need_8,water_need_9,water_need_10,water_need_11,water_need_12
20.87974371,82.00274423,6.502985292000001,202.9355362,rice,20,2,15.220165215000002,15.220165215000002,24.35226435,30.440330430000003,36.528396516,45.660495645,45.660495645,36.528396516,24.35226435,15.220165215000002,15.220165215000002,15.220165215000002
21.77046169,80.31964408,7.038096361,226.6555374,rice,20,6,16.999165305,16.999165305,27.198664488,33.99833061,40.797996735,50.997495915,50.997495915,40.797996735,27.198664488,16.999165305,16.999165305,16.999165305
23.00445915,82.3207629,7.840207144,263.9642476,rice,20,6,19.79731857,19.79731857,31.675709715000004,39.59463714,47.513564565,59.391955710000005,59.391955710000005,47.513564565,31.675709715000004,19.79731857,19.79731857,19.79731857
26.49109635,80.15836264,6.980400905,242.8640342,rice,20,7,18.214802565,18.214802565,29.14368411,36.42960513,43.71552615,54.644407695,54.644407695,43.71552615,29.14368411,18.214802565,18.214802565,18.214802565
20.13017482,81.60487287,7.628472891,262.7173405,rice,20,7,19.703800545,19.703800545,31.52608086,39.407601075,47.28912129,59.1114016125,59.1114016125,47.28912129,31.52608086,19.703800545,19.703800545,19.703800545
23.05804872,83.37011772,7.073453503,251.0549998,rice,20,2,18.829124985,18.829124985,30.12659997,37.65824997,45.189899964000006,56.487374955,56.487374955,45.189899964000006,30.12659997,18.829124985,18.829124985,18.829124985
22.70883798,82.63941394,5.70080568,271.3248604,rice,20,6,20.34936453,20.34936453,32.558983245,40.69872906,48.838474875,61.04809358999999,61.04809358999999,48.838474875,32.558983245,20.34936453,20.34936453,20.34936453
20.27774362,82.89408619,5.718627177999999,241.9741949,rice,20,7,18.148064625,18.148064625,29.036903385,36.296129235,43.555355085,54.44419385250001,54.44419385250001,43.555355085,29.036903385,18.148064625,18.148064625,18.148064625
24.51588066,83.53521629999999,6.685346424,230.4462359,rice,20,6,17.283467700000003,17.283467700000003,27.653548305,34.566935385,41.480322465,51.850403085,51.850403085,41.480322465,27.653548305,17.283467700000003,17.283467700000003,17.283467700000003
23.22397386,83.03322691,6.336253525,221.2091958,rice,20,7,16.590689685,16.590689685,26.545103496000003,33.18137937,39.81765525,49.772069055,49.772069055,39.81765525,26.545103496000003,16.590689685,16.590689685,16.590689685
26.52723513,81.41753846,5.386167788,264.6148697,rice,20,2,19.846115235,19.846115235,31.75378437,39.692230455,47.630676546,59.5383456825,59.5383456825,47.630676546,31.75378437,19.846115235,19.846115235,19.846115235
23.97898217,81.45061596,7.50283396,250.0832336,rice,20,7,18.75624252,18.75624252,30.009988035,37.51248504,45.014982045,56.26872756,56.26872756,45.014982045,30.009988035,18.75624252,18.75624252,18.75624252
26.80079604,80.88684822,5.108681786,284.4364567,rice,20,7,21.3327342525,21.3327342525,34.13237481,42.665468505,51.1985622,63.998202765,63.998202765,51.1985622,34.13237481,21.3327342525,21.3327342525,21.3327342525
